name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
na26(e-,)mg26;1.4039106254966941e+29;9.354;na26;mg26;-0.434172;0.0;0.0;0.0;0.0;0.0;0.0
na27(e-,)mg27;4.653028775839608e+29;9.069;na27;mg27;0.832831;0.0;0.0;0.0;0.0;0.0;0.0
na28(e-,)mg28;6.818155542057097e+30;14.03;na28;mg28;3.1177;0.0;0.0;0.0;0.0;0.0;0.0
na29(e-,)mg29;3.3393423210691203e+30;13.271;na29;mg29;2.49473;0.0;0.0;0.0;0.0;0.0;0.0
na30(e-,)mg30;3.4449051076755886e+30;17.266;na30;mg30;2.2968;0.0;0.0;0.0;0.0;0.0;0.0
na31(e-,)mg31;7.730956946997527e+30;15.729;na31;mg31;3.23128;0.0;0.0;0.0;0.0;0.0;0.0
na32(e-,)mg32;1.3243276725453544e+31;19.72;na32;mg32;3.57536;0.0;0.0;0.0;0.0;0.0;0.0
na33(e-,)mg33;1.2020071746952931e+31;19.02;na33;mg33;3.54551;0.0;0.0;0.0;0.0;0.0;0.0
na34(e-,)mg34;1.7739770373261982e+31;22.729;na34;mg34;3.78667;0.0;0.0;0.0;0.0;0.0;0.0
na35(e-,)mg35;1.7631413350505607e+32;22.201;na35;mg35;6.13578;0.0;0.0;0.0;0.0;0.0;0.0
na36(,e-)mg36;0.0;0.0;na36;mg36;3.76887;0.0;0.0;0.0;0.0;0.0;0.0
na38(,e-)mg38;0.0;0.0;na38;mg38;2.06867;0.0;0.0;0.0;0.0;0.0;0.0
mg20(,e+)na20;1.7950786686573302e+30;10.708;mg20;na20;1.71787;0.0;0.0;0.0;0.0;0.0;0.0
mg21(,e+)na21;1.426658290403754e+30;13.096;mg21;na21;1.33525;0.0;0.0;0.0;0.0;0.0;0.0
mg22(,e+)na22;2.338509661241326e+28;4.782;mg22;na22;-1.72235;0.0;0.0;0.0;0.0;0.0;0.0
mg23(,e+)na23;6.517386347313343e+27;4.0569;mg23;na23;-2.79132;0.0;0.0;0.0;0.0;0.0;0.0
mg27(e-,)al27;7.120704548528466e+25;2.61;mg27;al27;-6.70687;0.0;0.0;0.0;0.0;0.0;0.0
mg28(e-,)al28;3.629275929575398e+23;1.832;mg28;al28;-11.5957;0.0;0.0;0.0;0.0;0.0;0.0
mg29(e-,)al29;8.432601387872996e+28;7.613;mg29;al29;-0.628877;0.0;0.0;0.0;0.0;0.0;0.0
mg30(e-,)al30;2.9000390609815644e+29;6.98;mg30;al30;0.727112;0.0;0.0;0.0;0.0;0.0;0.0
mg31(e-,)al31;6.712475070789471e+29;11.764;mg31;al31;1.07736;0.0;0.0;0.0;0.0;0.0;0.0
mg32(e-,)al32;1.454908948983056e+30;10.15;mg32;al32;2.03032;0.0;0.0;0.0;0.0;0.0;0.0
mg33(e-,)al33;1.608526711895748e+30;13.384;mg33;al33;1.88507;0.0;0.0;0.0;0.0;0.0;0.0
mg34(e-,)al34;7.123169466637882e+30;11.607;mg34;al34;3.54551;0.0;0.0;0.0;0.0;0.0;0.0
