         t  he3                            
      fe62 co62                            
      fe63 co63                            
      fe64 co64                            
      fe65 co65                            
      fe66 co66                            
      fe67 co67                            
      fe68 co68                            
      fe69 co69                            
      fe70 co70                            
      fe71 co71                            
      fe72 co72                            
      fe73 co73                            
      fe74 co74                            
      fe75 co75                            
      fe76 co76                            
      fe77 co77                            
      fe78 co78                            
      fe79 co79                            
      fe80 co80                            
      fe81 co81                            
      fe83 co83                            
      fe85 co85                            
      fe87 co87                            
      fe89 co89                            
      fe91 co91                            
         d    n    p                       
         d    n    p                       
         d    n    p                       
         t    n    d                       
         t    n    d                       
       he3    p    d                       
       he3    p    d                       
       he4    n  he3                       
       he4    n  he3                       
       he4    p    t                       
       he4    d    d                       
       he8    n  li7                       
       li6  he4    d                       
       li6  he4    d                       
       li7    n  li6                       
       li7  he4    t                       
       li8    n  li7                       
       li8    n  li7                       
       li8  he4  he4                       
       li9    n  li8                       
       li9    n  li8                       
      li11    n be10                       
       be7    p  li6                       
       be7  he4  he3                       
       be7  he4  he3                       
      be10    n  be9                       
      be11    n be10                       
      be11  he4  li7                       
      be12    n be11                       
      be12    n  b11                       
      be14    n  b13                       
      be15    n be14                       
        b8    p  be7                       
        b8    p  be7                       
        b8  he4  he4                       
       b10    p  be9                       
       b10    p  be9                       
       b10    p  be9                       
       b10  he4  li6                       
       b10  he4  li6                       
       b11    n  b10                       
       b11    p be10                       
       b11  he4  li7                       
       b11  he4  li7                       
       b11  he4  li7                       
       b12    n  b11                       
       b12    n  b11                       
       b12  he4  li8                       
       b13    n  b12                       
       b13  he4  li9                       
       b14    n  b13                       
       b14    n  b13                       
       b14    n  c13                       
       b15    n  c14                       
       b17    n  c16                       
       b18    n  b17                       
       b19    n  c18                       
        c9    p   b8                       
        c9  he4  li5                       
       c11    p  b10                       
       c11    p  b10                       
       c11  he4  be7                       
       c11  he4  be7                       
       c11  he4  be7                       
       c12    n  c11                       
       c12    n  c11                       
       c12    n  c11                       
       c12    p  b11                       
       c12    p  b11                       
       c12    p  b11                       
       c13    n  c12                       
       c13    n  c12                       
       c14    n  c13                       
       c14    n  c13                       
       c14  he4 be10                       
       c15    n  c14                       
       c16    n  c15                       
       c16    n  n15                       
       c17    n  c16                       
       c17    n  n16                       
       c18    n  n17                       
       c19    n  n18                       
       c20    n  n19                       
       c21    n  c20                       
       c22    n  n21                       
       n12    p  c11                       
       n12    p  c11                       
       n13    p  c12                       
       n13    p  c12                       
       n14    n  n13                       
       n14    n  n13                       
       n14    p  c13                       
