CODATA 2022 + astrophysical constants
Most quantities have been converted to CGS
Generated on Feb 10, 2025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference:

Mohr, P. , Tiesinga, E. , Newell, D. and Taylor, B. (2024), Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
[online], https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958002, https://physics.nist.gov/constants (Accessed February 10, 2025)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Symbol                    Name                                                              Value Unit                     Uncertainty Source                                       
mU_K                      atomic mass unit-kelvin relationship                     1.08095402e+13 K                     3.30000000e+03 CODATA2022                                   
mU_kg                     atomic mass unit-kilogram relationship                   1.66053907e-24 g                     5.00000000e-34 CODATA2022                                   
au1Hyper                  atomic unit of 1st hyperpolarizability                   3.20636131e-53 C^3 m^3 J^-2          1.50000000e-62 CODATA2022                                   
au2Hyper                  atomic unit of 2nd hyperpolarizability                   6.23537999e-65 C^4 m^4 J^-3          3.80000000e-74 CODATA2022                                   
auAct                     atomic unit of action                                    1.05457182e-27 erg s                 0.00000000e+00 CODATA2022                                   
auC                       atomic unit of charge                                    1.60217663e-19 C                     0.00000000e+00 CODATA2022                                   
auCrho                    atomic unit of charge density                            1.08120238e+12 C m^-3                4.90000000e+02 CODATA2022                                   
auI                       atomic unit of current                                   6.62361824e-03 A                     1.30000000e-14 CODATA2022                                   
auMu                      atomic unit of electric dipole mom.                      8.47835363e-30 C m                   1.30000000e-39 CODATA2022                                   
auE                       atomic unit of electric field                            5.14220675e+11 V m^-1                7.80000000e+01 CODATA2022                                   
auEFG                     atomic unit of electric field gradient                   9.71736243e+21 V m^-2                2.90000000e+12 CODATA2022                                   
auPol                     atomic unit of electric polarizability                   1.64877727e-41 C^2 m^2 J^-1          5.00000000e-51 CODATA2022                                   
auV                       atomic unit of electric potential                        2.72113862e+01 V                     5.30000000e-11 CODATA2022                                   
auQuad                    atomic unit of electric quadrupole mom.                  4.48655152e-40 C m^2                 1.40000000e-49 CODATA2022                                   
Eh                        atomic unit of energy                                    4.35974472e-11 erg                   8.50000000e-23 CODATA2022                                   
auF                       atomic unit of force                                     8.23872350e-03 dyn                   1.20000000e-12 CODATA2022                                   
auL                       atomic unit of length                                    5.29177211e-09 cm                    8.00000000e-19 CODATA2022                                   
auM                       atomic unit of mag. dipole mom.                          1.85480202e-23 J T^-1                5.60000000e-33 CODATA2022                                   
auB                       atomic unit of mag. flux density                         2.35051757e+09 G                     7.10000000e-01 CODATA2022                                   
auChi                     atomic unit of magnetizability                           7.89103660e-29 J T^-2                4.80000000e-38 CODATA2022                                   
amu                       atomic unit of mass                                      9.10938370e-28 g                     2.80000000e-37 CODATA2022                                   
aup                       atomic unit of momentum                                  1.99285191e-19 dyn s                 3.00000000e-29 CODATA2022                                   
auEps                     atomic unit of permittivity                              1.11265006e-10 F m^-1                1.70000000e-20 CODATA2022                                   
aut                       atomic unit of time                                      2.41888433e-17 s                     4.70000000e-29 CODATA2022                                   
auv                       atomic unit of velocity                                  2.18769126e+08 cm / s                3.30000000e-02 CODATA2022                                   
N_a                       Avogadro constant                                        6.02214076e+23 1 / mol               0.00000000e+00 CODATA2022                                   
mu_B                      Bohr magneton                                            9.27401008e-24 J T^-1                2.80000000e-33 CODATA2022                                   
mu_B_eV_T                 Bohr magneton in eV/T                                    5.78838181e-05 eV T^-1               1.70000000e-14 CODATA2022                                   
mu_B_Hz_T                 Bohr magneton in Hz/T                                    1.39962449e+10 Hz T^-1               4.20000000e+00 CODATA2022                                   
mu_B__mT                  Bohr magneton in inverse meters per tesla                4.66864481e+01 m^-1 T^-1             2.90000000e-07 CODATA2022                                   
muB_K_T                   Bohr magneton in K/T                                     6.71713816e-01 K T^-1                2.00000000e-10 CODATA2022                                   
rBhor                     Bohr radius                                              5.29177211e-09 cm                    8.00000000e-19 CODATA2022                                   
kB                        Boltzmann constant                                       1.38064900e-16 erg / K               0.00000000e+00 CODATA2022                                   
kB_eV_K                   Boltzmann constant in eV/K                               1.38064900e-16 erg / K               0.00000000e+00 CODATA2022                                   
kB_Hz_K                   Boltzmann constant in Hz/K                               2.08366191e+10 1 / (K s)             0.00000000e+00 CODATA2022                                   
kB__MK                    Boltzmann constant in inverse meters per kelvin          6.95034570e-01 1 / (K cm)            4.00000000e-07 CODATA2022                                   
Z0                        characteristic impedance of vacuum                       3.76730314e+02 ohm                   5.61366546e-08 CODATA2022                                   
re                        classical electron radius                                2.81794033e-13 cm                    1.30000000e-22 CODATA2022                                   
lambda_compt              Compton wavelength                                       2.42631024e-10 cm                    7.30000000e-20 CODATA2022                                   
lambda_compt_2pi          Compton wavelength over 2 pi                             3.86159268e-11 cm                    1.80000000e-20 CODATA2022                                   
G0                        conductance quantum                                      7.74809173e-05 S                     0.00000000e+00 CODATA2022                                   
